name,mass,radius,distance
TWA 28,0.034365168,0.24560357,180.0
Cha 110913-773444,0.007636704,0.18497339999999998,163.0
SDSS J111010.01+011613.1,0.008591292,0.12742612,63.0
2MASS J11145133−2618235,0.031501404000000004,0.09865247999999999,18.2
TWA 26,0.028637640000000002,0.2260786,137.0
2MASS J11544223-3400390 [de],0.035319756,0.1541445,129.0
2MASSW J1155395-372735 [de],0.061093632,0.102763,31.0
2MASS J12074836-3900043,0.016227996,0.17572473,217.0
2MASSI J1217110-031113 [de],0.040092696000000004,0.09659721999999998,36.0
2M 1237+6526,0.039138108,0.09659721999999998,45.6
TWA 29,0.001909176,2.5690749999999998,262.0
SDSSp J125453.90-012247.4 [de],0.044865636,0.10070773999999999,38.0
Kelu-1A,0.060139044,0.10070773999999999,61.0
Kelu-1B,0.055366104,0.10070773999999999,61.0
2MASS J13204427+0409045,0.063957396,0.10379063,101.0
SDSSp J132629.82-003831.5 [de],0.048683988000000004,0.09968010999999999,65.0
SDSSp J134646.45-003150.4 [de],0.042001872,0.09659721999999998,48.0
2MASS J13595510-4034582,0.060139044,0.102763,51.0
ULAS J141623.94+134836.3,0.030546816,0.09865247999999999,29.7
SDSS J141659.78+500626.4 [de],0.056320692,0.10173536999999999,149.0
DENIS-P J142527.97-365023.4 [de],0.020046348000000002,0.13564716,38.0
LHS 2924,0.072548688,0.10892878,38.5
2MASS J14392837+1929150,0.068730336,0.10584589,47.0
LSPM J1440+1339,0.087822096,0.12228796999999998,72.0
2MASS J14482563+1031590 [de],0.056320692,0.10173536999999999,47.0
CFBDSIR 1458+10A,0.0105959268,0.1541445,104.0
CFBDSIR 1458+10B,0.008591292,0.13359189999999999,104.0
TVLM 513-46546,0.07159410000000001,0.10790115,35.1
2MASS 1503+2525,0.042001872,0.09659721999999998,20.7
CFBDS J150411+102717,0.042001872,0.09659721999999998,71.0
2MASSW J1506544+132106 [de],0.065866572,0.10481826,46.0
2MASS 1507−1627,0.057275280000000005,0.10173536999999999,23.9
TVLM 868-110639,0.075412452,0.11098404,53.0
2MASSW J1515008+484742 [de],0.054411516,0.10173536999999999,34.0
2MASSI J1526140+204341 [de],0.051547752,0.10070773999999999,67.0
DENIS-P J153941.96-052042.4 [de],0.060139044,0.102763,51.0
2MASS J15462718-3325111 [de],0.042001872,0.09659721999999998,37.0
2MASSW J1552591+294849 [de],0.028637640000000002,0.14695108999999998,68.0
2MASSW J1555157-095605 [de],0.067775748,0.10584589,44.0
2MASS J16150413+1340079 [de],0.040092696000000004,0.09659721999999998,48.0
SDSSp J162414.37+002915.6 [de],0.041047284,0.09659721999999998,36.0
2MASS J16262034+3925190 [de],0.067775748,0.10584589,110.0
2MASSW J1632291+190441 [de],0.046774812,0.09968010999999999,50.0
WISEPA J164715.59+563208.2,0.039138108,0.09659721999999998,28.0
LSPM J1658+7027 [de],0.069684924,0.10687352,60.0
2MASSI J1726000+153819,0.022910112,0.14386819999999997,114.0
SDSSp J175032.96+175903.9,0.044865636,0.09968010999999999,90.0
2MASS J18283572-4849046,0.04295646,0.09762484999999999,39.0
LSR J1835+3259,0.073503276,0.10995641,18.5
2MASSW J1841086+311727,0.063957396,0.10379063,138.0
2MASS J18432213+4040209,0.091640448,0.12537086,46.0
2MASS J20004841-7523070,0.0238647,0.19319443999999997,105.0
SDSS J204749.61-071818.3,0.043911048,0.09865247999999999,65.0
2MASSI J2057540-025230,0.06682116,0.10481826,47.0
2MASSI J2104149-103736,0.065866572,0.10481826,62.0
PSO J318.5−22,0.0062048220000000005,0.15722739,80.0
HB 2124-4228,0.089731272,0.12434322999999999,113.0
2MASS J21392676+0220226,0.043911048,0.09865247999999999,32.1
2MASS J21481628+4003593,0.05250234,0.10173536999999999,26.3
2MASSW J2206450-421721,0.021000936,0.13667479,93.0
2MASSW J2208136+292121,0.025773876,0.14489582999999998,154.0
2MASSW J2224438-015852,0.058229868000000004,0.10173536999999999,38.0
2MASS J22282889-4310262,0.040092696000000004,0.09659721999999998,35.0
2MASS J22373255+3922398,0.069684924,0.10687352,64.0
2MASSW J2244316+204343,0.011455056,0.13256426999999998,56.0
2MASS J23224684-3133231,0.022910112,0.14284056999999997,56.0
2MASS J23225299-6151275,0.016227996,0.16339317,148.0
2MASS J23515044-2537367,0.084003744,0.11920507999999998,67.0
2MASSI J2356547-155310,0.07636704,0.11201167000000001,74.0
WISE 0410+1502,0.005727528,0.12023270999999998,20.0
WISE 0458+6434A,0.014318820000000001,0.4316046,35.9
WISE 0458+6434B,0.00954588,0.39049939999999994,35.9
WISE 1405+5534,0.028637640000000002,0.08837618,25.3
Sun,0.000015813,1,1
Sirius,0008.6,2.1,1.71´
Canopus,0310,15,71
Alpha Centauri,0004.4,1.1,1.2
Arcturus,0037,1.1,26
Vega,0025,2.2,2.7
Capella,0043,2.6,12
Rigel,0860,23,78.9
Procyon,0011.4,1.5,1.9
Betelgeuse,0640[1],20,950
Achernar,0144,6.7,9.3
Hadar,0390,10.5,8.6
Altair,0017,1.8,1.8
Acrux,0320,18,8.9
Aldebaran,0065,1.5,44
Antares,0600,12,680
Spica,0260,11.43,7.47
Pollux,0034,1.9,8.8
Fomalhaut,0025,1.9,1.8
Deneb,"2,600",19,203
Mimosa,0350,16,8.4
Regulus,0077,3.8,3.1
Adhara,0430,12.5,14
Shaula,0700,14.5,8.8
Castor,0052,2.8,2.4
Gacrux,0088,1.5,84
Bellatrix,0240,8.6,5.8
Elnath,0130,5.0,4.2
Miaplacidus,0110,3.5,6.8
Alnilam,"2,000",32,42
Gamma Velorum,"01,100",9.0,6
Alnair,0101,4.0,3.4
Alioth,0081,2.9,4.2
Alnitak,01050,33,20
Dubhe,0120,4.25,30
Mirfak,0590,8.5,68
Wezen,"1,600",17,200
Sargas,0270,5.7,26
Kaus Australis,0140,3.5,6.8
Avior,0630,9.0,130
Alkaid,0104,6.1,3.4
Menkalinan,081,2.39,2.77
Atria,0390,7,92
Alhena,0109,2.8,3.3
Peacock,0180,5.9,4.8
Alsephina[2],0080,2.4,2.9
Mirzam,0500,13.5,10
Polaris,0430,5.4,39
Alphard,0180,3.0,50
Mintaka,01200,24,16.5
Scheat,0196,2.1,95
Almaaz,0653,15,140
Rasalgethi,0360,2.8,280
Tau Ceti,011.9,0.783,0.893
Delta Pavonis,019.92,0.991,1.22
Ran,010.48,0.82,0.74
V382 Carinae,"08,900",20,485
